iter	Logloss
183	0.3100293359
184	0.3094476242
185	0.3091020911
186	0.3086429727
187	0.3081465867
188	0.3075149394
189	0.3069986124
190	0.3065341462
191	0.3060650454
192	0.3055032035
193	0.3048231178
194	0.3041342857
195	0.303553501
196	0.3029402973
197	0.3026332202
198	0.3021992241
199	0.3018443978
200	0.3015564773
201	0.3011981097
202	0.3007736681
203	0.3001872981
204	0.2995014369
205	0.2990300306
206	0.2985716015
207	0.2981090367
208	0.2977719886
209	0.2974122425
210	0.2970916653
211	0.2966217089
212	0.2960954945
213	0.2955881517
214	0.2951599311
215	0.2947818364
216	0.294260946
217	0.293781744
218	0.2932406987
219	0.2929557491
220	0.2925068508
221	0.2921439435
222	0.2916751279
223	0.291183852
224	0.2906797653
225	0.290182286
226	0.2897672802
227	0.2892481248
228	0.2888860495
229	0.2884842347
230	0.2882063203
231	0.2878529439
232	0.2874882778
233	0.2871124173
234	0.2867460637
235	0.2864098475
236	0.2860916946
237	0.285666849
238	0.285145103
239	0.2848072468
240	0.2844854812
241	0.2841180106
242	0.2836482443
243	0.2833365087
244	0.2828940751
245	0.2824628123
246	0.282029244
247	0.2817335515
248	0.2813791293
249	0.280884098
250	0.2803830061
251	0.2800065988
252	0.2797404732
253	0.2793476663
254	0.2788663965
255	0.2785092886
256	0.2781330239
257	0.2777213694
258	0.2774244409
259	0.2771305785
260	0.2768689212
261	0.2764279374
262	0.2760790293
263	0.2757438826
264	0.275287854
265	0.2749262064
266	0.2745445941
267	0.2741256191
268	0.2738268843
269	0.2734478389
270	0.2731236253
271	0.2727573193
272	0.2723583091
273	0.2720168402
274	0.2717121635
275	0.2712996533
276	0.2709161871
277	0.2705939938
278	0.2702899826
279	0.269987041
280	0.2695969911
281	0.2692929087
282	0.2688550385
283	0.2684575494
284	0.2682128621
285	0.2679388694
286	0.2675928371
287	0.2672929615
288	0.2670001449
289	0.2667738775
290	0.2664023901
291	0.2660636545
292	0.2657794893
293	0.2655484446
294	0.2651839925
295	0.2649195068
296	0.2646809516
297	0.2641919573
298	0.2639080297
299	0.2636410247
300	0.2632568454
301	0.2630108985
302	0.2627201734
303	0.2624443743
304	0.2622215532
305	0.261969498
306	0.2616924155
307	0.2615372607
308	0.2612757935
309	0.2610205059
310	0.260715544
311	0.2605364078
312	0.2601665841
313	0.2598599823
314	0.2596209755
315	0.2594351605
316	0.2591222603
317	0.2588297288
318	0.258592362
319	0.2582940075
320	0.2580667656
321	0.2578025176
322	0.2575425478
323	0.2573685691
324	0.2571807101
325	0.2569194093
326	0.2566221243
327	0.2562346652
328	0.2560094435
329	0.2557738117
330	0.2555201165
331	0.2552599565
332	0.25498083
333	0.2546871577
334	0.2543401986
335	0.2541041864
336	0.2537762175
337	0.2535571042
338	0.2532985129
339	0.253017485
340	0.2527889834
341	0.2525480039
342	0.2522830428
343	0.2520718679
344	0.2517158532
345	0.2513292734
346	0.2511546768
347	0.2508902386
348	0.2505829713
349	0.250458239
350	0.2501124444
351	0.2498340547
352	0.2495542152
353	0.2493006864
354	0.2490444718
355	0.2488044905
356	0.248580077
357	0.2483029945
358	0.248028669
359	0.2478190152
360	0.2474111872
361	0.2471912895
362	0.2469404227
363	0.2465641818
364	0.2463172128
365	0.2460746409
366	0.2458292406
367	0.245661275
368	0.2455273209
369	0.2453533422
370	0.2450953926
371	0.2449471067
372	0.24469315
373	0.2444330614
374	0.244110868
375	0.2438792766
376	0.2436285286
377	0.2433821539
378	0.2431589287
379	0.2428400628
380	0.2425843474
381	0.2423657331
382	0.2420900529
383	0.241908112
384	0.2415952593
385	0.2413456046
386	0.2411344772
387	0.2408346491
388	0.2405759152
389	0.2403377878
390	0.2402369657
391	0.239891076
392	0.2396982496
393	0.2394870271
394	0.2391925705
395	0.2389538964
396	0.2387739996
397	0.2384891213
398	0.2381678786
399	0.2380056649
400	0.2377484045
401	0.2374097878
402	0.2373308318
403	0.2371450644
404	0.2369464862
405	0.2367569873
406	0.2364987287
407	0.2363413635
408	0.2360035073
409	0.2357590577
410	0.2355378528
411	0.2352461295
412	0.234945327
413	0.2347404266
414	0.2345305826
415	0.2343002985
416	0.2340920707
417	0.2338339072
418	0.233609969
419	0.2333632852
420	0.2331323119
421	0.2329922733
422	0.2328303922
423	0.232518514
424	0.2323869367
425	0.2322184245
426	0.2318545903
427	0.2317858069
428	0.2315545245
429	0.2312404122
430	0.2309231862
431	0.2308269513
432	0.2305995668
433	0.2304262536
434	0.2303699244
435	0.2302084474
436	0.2300897521
437	0.2299715559
438	0.2298768183
439	0.2297817242
440	0.2295506082
441	0.2293065151
442	0.2289602927
443	0.2288458518
444	0.2285448591
445	0.2283085143
446	0.2282251851
447	0.227996636
448	0.2277753598
449	0.2275592887
450	0.2274454658
451	0.2272616948
452	0.2270497355
453	0.2269787417
454	0.2264474174
455	0.2261645118
456	0.2258735253
457	0.2256183565
458	0.2252172785
459	0.2250395207
460	0.2248162718
461	0.2244878276
462	0.224145717
463	0.2240006872
464	0.2238148722
465	0.2237110316
466	0.2235462034
467	0.2233489087
468	0.2231282267
469	0.2230390982
470	0.2226922579
471	0.2223779554
472	0.2222254625
473	0.2221543737
474	0.2217669621
475	0.2214538717
476	0.2213146174
477	0.2210916537
478	0.2207496144
479	0.2203673603
480	0.2202802046
481	0.2201736308
482	0.2198307834
483	0.2197373054
484	0.2194763849
485	0.219320422
486	0.2192253992
487	0.2188877569
488	0.2187938987
489	0.2185152
490	0.2184343427
491	0.2183541271
492	0.2181073958
493	0.2177333891
494	0.2176300001
495	0.2175544905
496	0.2173009855
497	0.2170166539
498	0.216770897
499	0.2166728082
500	0.2165668999
501	0.2164983066
502	0.2161759706
503	0.2160975138
504	0.215764839
505	0.2156829359
506	0.2155234554
507	0.2154393657
508	0.2151658721
509	0.2148582482
510	0.2147623223
511	0.2146574597
512	0.214454532
513	0.214388981
514	0.2141488809
515	0.2138955898
516	0.2136967739
517	0.2135338709
518	0.2133624115
519	0.2132051652
520	0.2131206952
521	0.2128840414
522	0.2126694676
523	0.212421643
524	0.2120512965
525	0.2120075879
526	0.2119323635
527	0.2118205133
528	0.2117419377
529	0.2116733682
530	0.2113738728
531	0.2110555536
532	0.2110132711
533	0.210884831
534	0.210481709
535	0.2100872384
536	0.2100102552
537	0.2099668319
538	0.2099242641
539	0.2097448426
540	0.2096857089
541	0.2096233427
542	0.2093449768
543	0.2092277075
544	0.2091598748
545	0.2089387175
546	0.2086944105
547	0.2086103683
548	0.2084368649
549	0.2083742849
550	0.2082907181
551	0.2080137544
552	0.2079721136
553	0.2079311145
554	0.2078672985
555	0.2076240136
556	0.2073514944
557	0.2071442411
558	0.207046485
559	0.2069565247
560	0.206632525
561	0.2065036334
562	0.2064631097
563	0.2063850807
564	0.2063450323
565	0.2063058158
566	0.2059926541
567	0.205839472
568	0.205579312
569	0.2053391881
570	0.2051168186
571	0.2050440898
572	0.2048507405
573	0.2048122133
574	0.204507085
575	0.2043648123
576	0.2041799955
577	0.2039675133
578	0.2037713357
579	0.2036249036
580	0.2035167849
581	0.2034547039
582	0.2033272621
583	0.2032884021
584	0.2030561691
585	0.2029943734
586	0.2027211887
587	0.2024718193
588	0.2024336485
589	0.2023701891
590	0.2021190132
591	0.2018294528
592	0.2017649713
593	0.2017271095
594	0.2014915965
595	0.201224639
596	0.20118711
597	0.2008907282
598	0.2008354211
599	0.2005957725
600	0.2002929497
601	0.2001983785
602	0.2000245424
603	0.1997977284
604	0.199760746
605	0.1995295349
606	0.1994489153
607	0.1993228283
608	0.1990150856
609	0.1989783884
610	0.1988934074
611	0.1987232196
612	0.1985696216
613	0.1985145402
614	0.1982195726
615	0.1981311335
616	0.1980764561
617	0.1978463146
618	0.1977802645
619	0.1977241968
620	0.1975320121
621	0.1972363433
622	0.1972002404
623	0.1971438399
624	0.1968977622
625	0.1966360455
626	0.1966005129
627	0.19646051
628	0.1964080906
629	0.1961584002
630	0.1959961033
631	0.1956963227
632	0.1956190068
633	0.1954559968
634	0.1952204957
635	0.1951864011
636	0.1949579352
637	0.1949044581
638	0.1947344248
639	0.1944877648
640	0.1942778614
641	0.1941466525
642	0.1938784115
643	0.1936707304
644	0.1933662082
645	0.1930578238
646	0.1930241095
647	0.192971393
648	0.1927454821
649	0.192508852
650	0.192378261
651	0.1922105688
652	0.1921251719
653	0.1918618984
654	0.1918274829
655	0.1917513791
656	0.1914781232
657	0.1914240282
658	0.1912674473
659	0.1910378762
660	0.1908762091
661	0.1907416252
662	0.1906921648
663	0.1904058843
664	0.1903718847
665	0.1903217351
666	0.1900616108
667	0.1900088587
668	0.1897961863
669	0.1897622462
670	0.1895606496
671	0.1892240055
672	0.189117087
673	0.1890462715
674	0.1890130919
675	0.188828299
676	0.1886724787
677	0.1885673547
678	0.1885159216
679	0.1883396612
680	0.1881607983
681	0.1881101139
682	0.1880296368
683	0.1879977526
684	0.1877976771
685	0.1875869299
686	0.1875542139
687	0.1874488284
688	0.1873776801
689	0.1873252607
690	0.1871039845
691	0.1869404992
692	0.1867862357
693	0.186735789
694	0.1866487164
695	0.1864114209
696	0.1862248572
697	0.1860023926
698	0.1858463703
699	0.1858137612
700	0.1857634215
701	0.1857145315
702	0.1856536271
703	0.1854091894
704	0.1851958278
705	0.1850050573
706	0.1847983506
707	0.1847486526
708	0.184701771
709	0.1846696372
710	0.1844674226
711	0.1842596702
712	0.1841265479
713	0.1840797258
714	0.1839858201
715	0.1839543518
716	0.1837477996
717	0.1836678811
718	0.1836040651
719	0.1833886595
720	0.1833371076
721	0.1831656483
722	0.1829710155
723	0.1829394284
724	0.1828363246
725	0.1826818829
726	0.1826335871
727	0.1825860401
728	0.1825549164
729	0.1824817479
730	0.1822712978
731	0.1821793173
732	0.1819483201
733	0.1817745078
734	0.1816551708
735	0.1816243442
736	0.1815405754
737	0.181353774
738	0.1811622548
739	0.1809951449
740	0.1809488219
741	0.1809180191
742	0.1808183854
743	0.1806246558
744	0.1805729376
745	0.1805059011
746	0.1802738938
747	0.1801122148
748	0.1800671515
749	0.1800050349
750	0.1797836161
751	0.1796731919
752	0.1795923584
753	0.1794431217
754	0.1792930532
755	0.1789859998
756	0.1789421723
757	0.1786766646
758	0.1786300564
759	0.178599824
760	0.1785304465
761	0.178435079
762	0.1782922715
763	0.1781452215
764	0.178024696
765	0.177978884
766	0.1777935087
767	0.1777634428
768	0.1777043328
769	0.1774696398
770	0.1774239704
771	0.1772015058
772	0.1770407181
773	0.176841926
774	0.1767959119
775	0.1766638592
776	0.1766151476
777	0.1765855213
778	0.1763886187
779	0.1762587408
780	0.1761970401
781	0.1760497049
782	0.1758271452
783	0.1755644659
784	0.1754827529
785	0.175434576
786	0.1752089028
787	0.1751652061
788	0.1751197744
789	0.1750730711
790	0.1749524506
791	0.1748829542
792	0.1748534229
793	0.1747054222
794	0.1745414377
795	0.1743789625
796	0.1741671696
797	0.1741233659
798	0.1739887107
799	0.1739428749
800	0.1737689081
801	0.1735637938
802	0.1733027069
803	0.173163001
804	0.1731045328
805	0.1729873942
806	0.1728723473
807	0.1728431963
808	0.1728001889
809	0.1727063069
810	0.1725893823
811	0.172493694
812	0.1723172316
813	0.1722883421
814	0.1721126996
815	0.1720663409
816	0.1720009444
817	0.1719722094
818	0.1719270748
819	0.1718983398
820	0.1718203583
821	0.1717788007
822	0.1715727357
823	0.1713919714
824	0.1712328236
825	0.1711055601
826	0.1709468996
827	0.170902371
828	0.1708741233
829	0.170686193
830	0.1705865711
831	0.1705238723
832	0.1704801993
833	0.1704141967
834	0.170246457
835	0.1701499725
836	0.1701063352
837	0.1700640765
838	0.1700360188
839	0.1698899551
840	0.169836383
841	0.1697962633
842	0.1697683602
843	0.1696031042
844	0.1694667971
845	0.1693612096
846	0.1693337461
847	0.169291523
848	0.1691832379
849	0.1691557982
850	0.1690808234
851	0.1689068209
852	0.1688039429
853	0.1687660336
854	0.1687389148
855	0.1686466134
856	0.1684376012
857	0.1683644684
858	0.1681809232
859	0.1681226451
860	0.168030617
861	0.1679214525
862	0.1677827924
863	0.1677557687
864	0.1677145795
865	0.167436368
866	0.1674088095
867	0.1673532409
868	0.1672120495
869	0.1671032534
870	0.1669904287
871	0.1668616084
872	0.1668349887
873	0.1665910382
874	0.1664186757
875	0.1663922105
876	0.1663143716
877	0.1661400958
878	0.1661137851
879	0.1659151951
880	0.165708013
881	0.1656573168
882	0.1655871786
883	0.1654644904
884	0.1652409681
885	0.1651998383
886	0.1651736227
887	0.1649989904
888	0.1649594767
889	0.1649202721
890	0.1648946982
891	0.1648463312
892	0.1646697261
893	0.1644493887
894	0.1642769549
895	0.1640757504
896	0.1639342977
897	0.1639082721
898	0.1637258797
899	0.1636286465
900	0.1634327066
901	0.1633649808
902	0.163302686
903	0.1632252155
904	0.1631847156
905	0.1630408742
906	0.163015633
907	0.1627896508
908	0.1627640293
909	0.1627249554
910	0.1626505867
911	0.1626248464
912	0.1625169891
913	0.1624175098
914	0.1623007278
915	0.1622461456
916	0.1622079748
917	0.162158051
918	0.1621326553
919	0.161949431
920	0.1619096322
921	0.1618721032
922	0.1618467788
923	0.1618216565
924	0.1616664661
925	0.1616420211
926	0.161520438
927	0.1614408642
928	0.1613834417
929	0.1613585095
930	0.1612892389
931	0.1612346209
932	0.1612096174
933	0.1611714586
934	0.1610061194
935	0.1609686973
936	0.1608477203
937	0.1607326615
938	0.1606940629
939	0.1606693565
940	0.1606446263
941	0.1606201695
942	0.1605701387
943	0.1603762071
944	0.1602908221
945	0.1602533643
946	0.1600736576
947	0.1600493196
948	0.1598889835
949	0.1597695752
950	0.1597315946
951	0.1595936475
952	0.1594422955
953	0.1594179338
954	0.1593938929
955	0.1593698995
956	0.1593334044
957	0.1592017319
958	0.1591278385
959	0.159103964
960	0.1590012642
961	0.1589045064
962	0.1587425066
963	0.1586802236
964	0.1586421004
965	0.1586183209
966	0.1584252568
967	0.1584012991
968	0.1583626055
969	0.1583388854
970	0.158301915
971	0.1582408798
972	0.158101982
973	0.1579668039
974	0.1578506398
975	0.1578150717
976	0.1577915417
977	0.1577436263
978	0.1577070599
979	0.1574864135
980	0.1574378801
981	0.1574145166
982	0.1572960589
983	0.1572727191
984	0.1572372698
985	0.1572021057
986	0.1571372439
987	0.1569474598
988	0.1569240249
989	0.1568408384
990	0.1566453381
991	0.1565822708
992	0.1563904902
993	0.1563523195
994	0.1563299304
995	0.1562123759
996	0.1560629135
997	0.1560398114
998	0.1560029835
999	0.1559412472
