iter	Passed	Remaining
400	35818	53504
401	35906	53412
402	35991	53317
403	36081	53229
404	36186	53163
405	36280	53079
406	36410	53050
407	36505	52968
408	36590	52872
409	36682	52787
410	36767	52690
411	36857	52602
412	36937	52500
413	37015	52393
414	37096	52293
415	37175	52189
416	37261	52095
417	37351	52006
418	37444	51921
419	37553	51859
420	37653	51785
421	37749	51704
422	37837	51612
423	37918	51511
424	38005	51419
425	38085	51317
426	38165	51215
427	38250	51119
428	38331	51019
429	38413	50920
430	38502	50830
431	38597	50747
432	38721	50704
433	38824	50632
434	38914	50544
435	39013	50466
436	39104	50379
437	39190	50285
438	39274	50189
439	39359	50094
440	39444	49998
441	39524	49897
442	39613	49808
443	39694	49707
444	39788	49624
445	39901	49563
446	39998	49483
447	40085	49391
448	40184	49313
449	40283	49235
450	40380	49154
451	40465	49060
452	40554	48969
453	40638	48873
454	40723	48779
455	40805	48680
456	40884	48578
457	40978	48493
458	41079	48418
459	41173	48334
460	41276	48259
461	41363	48167
462	41454	48080
463	41549	47996
464	41642	47910
465	41724	47812
466	41813	47722
467	41903	47633
468	41986	47536
469	42072	47443
470	42168	47361
471	42257	47271
472	42345	47179
473	42432	47087
474	42524	47000
475	42609	46905
476	42704	46822
477	42815	46756
478	42904	46666
479	42991	46574
480	43075	46478
481	43156	46380
482	43243	46287
483	43339	46204
484	43429	46116
485	43510	46016
486	43599	45927
487	43711	45860
488	43813	45784
489	43920	45713
490	44023	45636
491	44131	45566
492	44233	45489
493	44343	45420
494	44468	45366
495	44565	45284
496	44655	45194
497	44748	45107
498	44839	45019
499	44939	44939
500	45034	44855
501	45136	44776
502	45238	44698
503	45335	44615
504	45426	44526
505	45527	44447
506	45632	44372
507	45717	44277
508	45802	44182
509	45886	44086
510	45973	43993
511	46053	43895
512	46146	43807
513	46243	43724
514	46347	43647
515	46439	43559
516	46537	43477
517	46629	43388
518	46728	43307
519	46852	43248
520	46946	43162
521	47030	43065
522	47109	42965
523	47193	42870
524	47277	42775
525	47360	42678
526	47445	42584
527	47534	42492
528	47627	42405
529	47718	42316
530	47809	42226
531	47912	42148
532	48030	42082
533	48117	41990
534	48203	41896
535	48283	41797
536	48365	41700
537	48445	41601
538	48524	41502
539	48608	41407
540	48691	41311
541	48788	41227
542	48893	41149
543	48988	41064
544	49099	40991
545	49203	40913
546	49306	40833
547	49394	40741
548	49481	40648
549	49562	40551
550	49644	40454
551	49725	40356
552	49805	40258
553	49891	40165
554	49973	40068
555	50055	39972
556	50152	39888
557	50279	39826
558	50382	39746
559	50477	39660
560	50570	39572
561	50656	39479
562	50740	39384
563	50829	39293
564	50909	39195
565	50986	39095
566	51068	38999
567	51148	38901
568	51227	38803
569	51309	38706
570	51408	38623
571	51540	38565
572	51660	38497
573	51781	38429
574	51924	38379
575	52049	38314
576	52159	38238
577	52267	38160
578	52381	38087
579	52481	38003
580	52611	37941
581	52760	37893
582	52890	37830
583	52988	37745
584	53081	37656
585	53188	37576
586	53277	37484
587	53359	37388
588	53448	37295
589	53536	37203
590	53620	37108
591	53719	37022
592	53811	36933
593	53900	36841
